172.20.0.1 - - [03/Nov/2025:15:49:40 +0000] "GET /api/main/prv/test HTTP/1.1" 500 585 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
172.20.0.1 - - [03/Nov/2025:15:49:43 +0000] "GET /api/main/prv/test HTTP/1.1" 500 585 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
172.20.0.1 - - [03/Nov/2025:15:53:48 +0000] "POST /api/auth/register HTTP/1.1" 422 115 "-" "PostmanRuntime/7.39.1"
172.20.0.1 - - [03/Nov/2025:15:54:09 +0000] "POST /api/auth/login?Accept=application/json&Content-Type=application/json HTTP/1.1" 200 137 "-" "PostmanRuntime/7.39.1"
172.20.0.1 - - [03/Nov/2025:15:56:17 +0000] "GET /api/main/prv/test HTTP/1.1" 500 585 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
172.20.0.1 - - [03/Nov/2025:15:58:43 +0000] "GET /api/main/prv/test?Authorization=Bearer%20eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwOi8vbG9jYWxob3N0OjgwMDEvYXBpL2F1dGgvdmVyaWZ5LWVtYWlsIiwiaWF0IjoxNzYyMTc4MzY1LCJleHAiOjE3NjIxODE5NjUsIm5iZiI6MTc2MjE3ODM2NSwianRpIjoiOFdzVGxTdm9PdXE4c09rWiIsInN1YiI6IjEiLCJwcnYiOiIyM2JkNWM4OTQ5ZjYwMGFkYjM5ZTcwMWM0MDA4NzJkYjdhNTk3NmY3In0.CVe8sa4voxaC7wotZW4abfSkEnRjoMbiG3sIeTHBFgw&Content-Type=application/json HTTP/1.1" 500 183 "-" "PostmanRuntime/7.39.1"
172.20.0.1 - - [03/Nov/2025:16:01:02 +0000] "GET /api/main/prv/test?Authorization=Bearer%20eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwOi8vbG9jYWxob3N0OjgwMDEvYXBpL2F1dGgvdmVyaWZ5LWVtYWlsIiwiaWF0IjoxNzYyMTc4MzY1LCJleHAiOjE3NjIxODE5NjUsIm5iZiI6MTc2MjE3ODM2NSwianRpIjoiOFdzVGxTdm9PdXE4c09rWiIsInN1YiI6IjEiLCJwcnYiOiIyM2JkNWM4OTQ5ZjYwMGFkYjM5ZTcwMWM0MDA4NzJkYjdhNTk3NmY3In0.CVe8sa4voxaC7wotZW4abfSkEnRjoMbiG3sIeTHBFgw&Content-Type=application/json HTTP/1.1" 500 183 "-" "PostmanRuntime/7.39.1"
172.20.0.1 - - [03/Nov/2025:16:03:55 +0000] "POST /api/auth/login?Accept=application/json&Content-Type=application/json HTTP/1.1" 200 137 "-" "PostmanRuntime/7.39.1"
172.20.0.1 - - [03/Nov/2025:16:05:49 +0000] "POST /api/auth/verify-email?Accept=application/json&Content-Type=application/json HTTP/1.1" 200 521 "-" "PostmanRuntime/7.39.1"
172.20.0.1 - - [03/Nov/2025:16:06:11 +0000] "GET /api/main/prv/test?Authorization=Bearer%20eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwOi8vbG9jYWxob3N0OjgwMDEvYXBpL2F1dGgvdmVyaWZ5LWVtYWlsIiwiaWF0IjoxNzYyMTc4MzY1LCJleHAiOjE3NjIxODE5NjUsIm5iZiI6MTc2MjE3ODM2NSwianRpIjoiOFdzVGxTdm9PdXE4c09rWiIsInN1YiI6IjEiLCJwcnYiOiIyM2JkNWM4OTQ5ZjYwMGFkYjM5ZTcwMWM0MDA4NzJkYjdhNTk3NmY3In0.CVe8sa4voxaC7wotZW4abfSkEnRjoMbiG3sIeTHBFgw&Content-Type=application/json HTTP/1.1" 500 183 "-" "PostmanRuntime/7.39.1"
172.20.0.1 - - [03/Nov/2025:16:10:26 +0000] "GET /api/main/prv/test?Authorization=Bearer%20eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwOi8vbG9jYWxob3N0OjgwMDEvYXBpL2F1dGgvdmVyaWZ5LWVtYWlsIiwiaWF0IjoxNzYyMTc4MzY1LCJleHAiOjE3NjIxODE5NjUsIm5iZiI6MTc2MjE3ODM2NSwianRpIjoiOFdzVGxTdm9PdXE4c09rWiIsInN1YiI6IjEiLCJwcnYiOiIyM2JkNWM4OTQ5ZjYwMGFkYjM5ZTcwMWM0MDA4NzJkYjdhNTk3NmY3In0.CVe8sa4voxaC7wotZW4abfSkEnRjoMbiG3sIeTHBFgw&Content-Type=application/json HTTP/1.1" 500 183 "-" "PostmanRuntime/7.39.1"
172.20.0.1 - - [03/Nov/2025:16:14:59 +0000] "POST /api/auth/login?Accept=application/json&Content-Type=application/json HTTP/1.1" 200 137 "-" "PostmanRuntime/7.39.1"
172.20.0.1 - - [03/Nov/2025:16:19:13 +0000] "POST /api/auth/login?Accept=application/json&Content-Type=application/json HTTP/1.1" 200 137 "-" "PostmanRuntime/7.39.1"
172.20.0.1 - - [03/Nov/2025:16:19:49 +0000] "POST /api/auth/verify-email HTTP/1.1" 200 521 "-" "PostmanRuntime/7.39.1"
172.20.0.1 - - [03/Nov/2025:16:20:20 +0000] "POST /api/main/prv/test?Authorization=Bearer%20eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwOi8vYXV0aC1zZXJ2aWNlOjgwMDAvYXBpL2F1dGgvdmVyaWZ5LWVtYWlsIiwiaWF0IjoxNzYyMTg2Nzg4LCJleHAiOjE3NjIxOTAzODgsIm5iZiI6MTc2MjE4Njc4OCwianRpIjoiMDVOY29RWUk3NFZTQnFFNSIsInN1YiI6IjMiLCJwcnYiOiIyM2JkNWM4OTQ5ZjYwMGFkYjM5ZTcwMWM0MDA4NzJkYjdhNTk3NmY3In0.W8C6Q-F5k0U52L2hFKNzJ5_90-p887iblLGxP-L6h60&Content-Type=application/json HTTP/1.1" 500 183 "-" "PostmanRuntime/7.39.1"
172.20.0.1 - - [03/Nov/2025:16:20:25 +0000] "GET /api/main/prv/test?Authorization=Bearer%20eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwOi8vYXV0aC1zZXJ2aWNlOjgwMDAvYXBpL2F1dGgvdmVyaWZ5LWVtYWlsIiwiaWF0IjoxNzYyMTg2Nzg4LCJleHAiOjE3NjIxOTAzODgsIm5iZiI6MTc2MjE4Njc4OCwianRpIjoiMDVOY29RWUk3NFZTQnFFNSIsInN1YiI6IjMiLCJwcnYiOiIyM2JkNWM4OTQ5ZjYwMGFkYjM5ZTcwMWM0MDA4NzJkYjdhNTk3NmY3In0.W8C6Q-F5k0U52L2hFKNzJ5_90-p887iblLGxP-L6h60&Content-Type=application/json HTTP/1.1" 500 183 "-" "PostmanRuntime/7.39.1"
172.20.0.1 - - [03/Nov/2025:16:20:26 +0000] "GET /api/main/prv/test?Authorization=Bearer%20eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwOi8vYXV0aC1zZXJ2aWNlOjgwMDAvYXBpL2F1dGgvdmVyaWZ5LWVtYWlsIiwiaWF0IjoxNzYyMTg2Nzg4LCJleHAiOjE3NjIxOTAzODgsIm5iZiI6MTc2MjE4Njc4OCwianRpIjoiMDVOY29RWUk3NFZTQnFFNSIsInN1YiI6IjMiLCJwcnYiOiIyM2JkNWM4OTQ5ZjYwMGFkYjM5ZTcwMWM0MDA4NzJkYjdhNTk3NmY3In0.W8C6Q-F5k0U52L2hFKNzJ5_90-p887iblLGxP-L6h60&Content-Type=application/json HTTP/1.1" 500 183 "-" "PostmanRuntime/7.39.1"
172.20.0.1 - - [03/Nov/2025:16:20:27 +0000] "GET /api/main/prv/test?Authorization=Bearer%20eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwOi8vYXV0aC1zZXJ2aWNlOjgwMDAvYXBpL2F1dGgvdmVyaWZ5LWVtYWlsIiwiaWF0IjoxNzYyMTg2Nzg4LCJleHAiOjE3NjIxOTAzODgsIm5iZiI6MTc2MjE4Njc4OCwianRpIjoiMDVOY29RWUk3NFZTQnFFNSIsInN1YiI6IjMiLCJwcnYiOiIyM2JkNWM4OTQ5ZjYwMGFkYjM5ZTcwMWM0MDA4NzJkYjdhNTk3NmY3In0.W8C6Q-F5k0U52L2hFKNzJ5_90-p887iblLGxP-L6h60&Content-Type=application/json HTTP/1.1" 500 183 "-" "PostmanRuntime/7.39.1"
172.20.0.1 - - [03/Nov/2025:16:44:49 +0000] "POST /api/auth/login?Accept=application/json&Content-Type=application/json HTTP/1.1" 200 137 "-" "PostmanRuntime/7.39.1"
172.20.0.1 - - [03/Nov/2025:16:46:16 +0000] "POST /api/auth/verify-email HTTP/1.1" 200 521 "-" "PostmanRuntime/7.39.1"
172.20.0.1 - - [03/Nov/2025:16:47:17 +0000] "GET /api/main/prv/test HTTP/1.1" 500 183 "-" "PostmanRuntime/7.39.1"
172.20.0.1 - - [03/Nov/2025:16:54:02 +0000] "POST /api/auth/verify-email HTTP/1.1" 404 69 "-" "PostmanRuntime/7.39.1" "-"
172.20.0.1 - - [03/Nov/2025:16:54:30 +0000] "POST /api/auth/login?Accept=application/json&Content-Type=application/json HTTP/1.1" 200 137 "-" "PostmanRuntime/7.39.1" "-"
172.20.0.1 - - [03/Nov/2025:16:55:08 +0000] "POST /api/auth/verify-email HTTP/1.1" 422 163 "-" "PostmanRuntime/7.39.1" "-"
172.20.0.1 - - [03/Nov/2025:16:55:34 +0000] "POST /api/auth/verify-email HTTP/1.1" 422 163 "-" "PostmanRuntime/7.39.1" "-"
172.20.0.1 - - [03/Nov/2025:16:55:39 +0000] "POST /api/auth/verify-email HTTP/1.1" 200 510 "-" "PostmanRuntime/7.39.1" "-"
172.20.0.1 - - [03/Nov/2025:16:55:53 +0000] "POST /api/auth/verify-email HTTP/1.1" 404 69 "-" "PostmanRuntime/7.39.1" "-"
172.20.0.1 - - [03/Nov/2025:17:02:02 +0000] "POST /api/auth/verify-email HTTP/1.1" 404 69 "-" "PostmanRuntime/7.39.1" "-"
172.20.0.1 - - [03/Nov/2025:17:04:09 +0000] "POST /api/auth/verify-email HTTP/1.1" 404 69 "-" "PostmanRuntime/7.39.1" "-"
172.20.0.1 - - [03/Nov/2025:17:06:46 +0000] "POST /api/auth/verify-email HTTP/1.1" 404 69 "-" "PostmanRuntime/7.39.1" "-"
172.20.0.1 - - [03/Nov/2025:17:07:14 +0000] "POST /api/auth/login?Accept=application/json&Content-Type=application/json HTTP/1.1" 500 90 "-" "PostmanRuntime/7.39.1" "-"
172.20.0.1 - - [03/Nov/2025:17:08:39 +0000] "GET /api/auth/login?Accept=application/json&Content-Type=application/json HTTP/1.1" 405 7875 "-" "PostmanRuntime/7.39.1" "-"
172.20.0.1 - - [03/Nov/2025:17:08:52 +0000] "POST /api/auth/login?Accept=application/json&Content-Type=application/json HTTP/1.1" 200 137 "-" "PostmanRuntime/7.39.1" "-"
172.20.0.1 - - [03/Nov/2025:17:09:24 +0000] "POST /api/auth/verify-email HTTP/1.1" 200 510 "-" "PostmanRuntime/7.39.1" "-"
172.20.0.1 - - [03/Nov/2025:17:10:21 +0000] "GET /api/main/prv/test HTTP/1.1" 500 183 "-" "PostmanRuntime/7.39.1" "-"
172.20.0.1 - - [11/Nov/2025:09:46:57 +0000] "GET / HTTP/1.1" 200 33 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" "-"
172.20.0.1 - - [11/Nov/2025:09:46:57 +0000] "GET /favicon.ico HTTP/1.1" 404 561 "http://localhost:8087/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" "-"
172.20.0.1 - - [11/Nov/2025:09:47:01 +0000] "GET / HTTP/1.1" 200 33 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" "-"
172.20.0.1 - - [11/Nov/2025:09:47:33 +0000] "GET /api/auth/login HTTP/1.1" 405 1042640 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" "-"
172.20.0.1 - - [11/Nov/2025:09:49:13 +0000] "POST /api/auth/login HTTP/1.1" 200 136 "-" "PostmanRuntime/7.39.1" "-"
172.20.0.1 - - [11/Nov/2025:09:51:32 +0000] "POST /api/auth/login?Accept=application/json&Content-Type=application/json HTTP/1.1" 200 136 "-" "PostmanRuntime/7.39.1" "-"
172.20.0.1 - - [11/Nov/2025:09:55:33 +0000] "POST /api/auth/verify-email HTTP/1.1" 200 508 "-" "PostmanRuntime/7.39.1" "-"
172.20.0.1 - - [11/Nov/2025:09:56:41 +0000] "POST /api/auth/verify-email HTTP/1.1" 404 69 "-" "PostmanRuntime/7.39.1" "-"
172.20.0.1 - - [11/Nov/2025:09:57:07 +0000] "POST /api/auth/login HTTP/1.1" 500 90 "-" "PostmanRuntime/7.39.1" "-"
172.20.0.1 - - [11/Nov/2025:09:57:16 +0000] "POST /api/auth/login HTTP/1.1" 200 136 "-" "PostmanRuntime/7.39.1" "-"
172.20.0.1 - - [11/Nov/2025:09:57:44 +0000] "POST /api/auth/verify-email HTTP/1.1" 200 508 "-" "PostmanRuntime/7.39.1" "-"
172.20.0.1 - - [11/Nov/2025:09:58:19 +0000] "POST /request HTTP/1.1" 404 159 "-" "PostmanRuntime/7.39.1" "-"
172.20.0.1 - - [11/Nov/2025:09:58:47 +0000] "POST /requests/prepare-data HTTP/1.1" 404 159 "-" "PostmanRuntime/7.39.1" "-"
172.20.0.1 - - [11/Nov/2025:09:58:52 +0000] "GET /requests/prepare-data HTTP/1.1" 404 159 "-" "PostmanRuntime/7.39.1" "-"
172.20.0.1 - - [11/Nov/2025:09:59:02 +0000] "GET /requests/prepare-data%C2%B5 HTTP/1.1" 404 561 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" "-"
172.20.0.1 - - [11/Nov/2025:09:59:06 +0000] "GET /requests/prepare-data HTTP/1.1" 404 561 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" "-"
